Genes,PathwayID,PathwayName
1B,{'R-HSA-5663205'},{'Infectious disease'}
1C,"{'R-HSA-168249', 'R-HSA-5663205'}","{'Innate Immune System', 'Infectious disease'}"
1a,{'R-HSA-5663205'},{'Infectious disease'}
3a,"{'R-HSA-9645723', 'R-HSA-5663205'}","{'Infectious disease', 'Diseases of programmed cell death'}"
3b,{'R-HSA-5663205'},{'Infectious disease'}
6,{'R-HSA-5663205'},{'Infectious disease'}
7a,{'R-HSA-5663205'},{'Infectious disease'}
8,"{'R-HSA-1280218', 'R-HSA-1280215', 'R-HSA-5663205'}","{'Cytokine Signaling in Immune system', 'Adaptive Immune System', 'Infectious disease'}"
8b,{'R-HSA-5663205'},{'Infectious disease'}
9b,"{'R-HSA-168249', 'R-HSA-5663205'}","{'Innate Immune System', 'Infectious disease'}"
A1BG,"{'R-HSA-168249', 'R-HSA-76002'}","{'Platelet activation, signaling and aggregation', 'Innate Immune System'}"
A1CF,{'R-HSA-75072'},{'mRNA Editing'}
A2M,"{'R-HSA-1474228', 'R-HSA-174824', 'R-HSA-76002', 'R-HSA-140877'}","{'Formation of Fibrin Clot (Clotting Cascade)', 'Platelet activation, signaling and aggregation', 'Degradation of the extracellular matrix', 'Plasma lipoprotein assembly, remodeling, and clearance'}"
A4GALT,{'R-HSA-556833'},{'Metabolism of lipids'}
A4GNT,{'R-HSA-597592'},{'Post-translational protein modification'}
AAAS,"{'R-HSA-72306', 'R-HSA-5663205', 'R-HSA-597592', 'R-HSA-1280215', 'R-HSA-5619115', 'R-HSA-194441', 'R-HSA-9716542', 'R-HSA-2262752', 'R-HSA-71387', 'R-HSA-69278', 'R-HSA-211000', 'R-HSA-72203'}","{'Processing of Capped Intron-Containing Pre-mRNA', 'Cellular responses to stress', 'Gene Silencing by RNA', 'Cytokine Signaling in Immune system', 'Metabolism of carbohydrates', 'Metabolism of non-coding RNA', 'Infectious disease', 'tRNA processing', 'Post-translational protein modification', 'Signaling by Rho GTPases, Miro GTPases and RHOBTB3', 'Cell Cycle, Mitotic', 'Disorders of transmembrane transporters'}"
AACS,{'R-HSA-556833'},{'Metabolism of lipids'}
AADAC,{'R-HSA-211859'},{'Biological oxidations'}
AADAT,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
AAK1,{'R-HSA-199991'},{'Membrane Trafficking'}
AAMP,"{'R-HSA-9006934', 'R-HSA-168249', 'R-HSA-76002'}","{'Platelet activation, signaling and aggregation', 'Signaling by Receptor Tyrosine Kinases', 'Innate Immune System'}"
AANAT,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
AARS1,{'R-HSA-72766'},{'Translation'}
AARS2,{'R-HSA-72766'},{'Translation'}
AASDHPPT,{'R-HSA-196854'},{'Metabolism of vitamins and cofactors'}
AASS,{'R-HSA-71291'},{'Metabolism of amino acids and derivatives'}
AATF,{'R-HSA-73887'},{'Death Receptor Signaling'}
ABAT,{'R-HSA-112315'},{'Transmission across Chemical Synapses'}
ABCA1,"{'R-HSA-174824', 'R-HSA-5619115', 'R-HSA-556833', 'R-HSA-9006931'}","{'Metabolism of lipids', 'Signaling by Nuclear Receptors', 'Plasma lipoprotein assembly, remodeling, and clearance', 'Disorders of transmembrane transporters'}"
ABCA10,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCA12,"{'R-HSA-5619115', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Disorders of transmembrane transporters'}"
ABCA13,{'R-HSA-168249'},{'Innate Immune System'}
ABCA2,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCA3,"{'R-HSA-5668914', 'R-HSA-5619115', 'R-HSA-382556', 'R-HSA-5683826'}","{'Diseases of metabolism', 'ABC-family proteins mediated transport', 'Surfactant metabolism', 'Disorders of transmembrane transporters'}"
ABCA4,"{'R-HSA-2187338', 'R-HSA-382556', 'R-HSA-9675143'}","{'Visual phototransduction', 'ABC-family proteins mediated transport', 'Diseases of the neuronal system'}"
ABCA5,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCA6,"{'R-HSA-73857', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'RNA Polymerase II Transcription'}"
ABCA7,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCA8,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCA9,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCB1,"{'R-HSA-2161522', 'R-HSA-9754706', 'R-HSA-382556', 'R-HSA-9757110'}","{'ABC-family proteins mediated transport', 'Prednisone ADME', 'Atorvastatin ADME', 'Abacavir ADME'}"
ABCB10,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCB11,"{'R-HSA-5619115', 'R-HSA-556833'}","{'Metabolism of lipids', 'Disorders of transmembrane transporters'}"
ABCB4,"{'R-HSA-5619115', 'R-HSA-556833', 'R-HSA-382556'}","{'Metabolism of lipids', 'ABC-family proteins mediated transport', 'Disorders of transmembrane transporters'}"
ABCB5,{'R-HSA-382556'},{'ABC-family proteins mediated transport'}
ABCB6,"{'R-HSA-5619115', 'R-HSA-382556'}","{'ABC-family proteins mediated transport', 'Disorders of transmembrane transporters'}"
